match,result,turned_cards,number_of_battles
266,B,8,3
267,A,15,6
268,A,10,3
269,B,29,9
270,B,9,3
271,B,8,3
272,A,9,2
273,B,9,3
274,B,8,3
275,A,9,2
276,A,10,3
277,A,9,2
278,B,10,3
279,B,9,3
280,A,9,2
281,B,27,8
282,A,9,3
283,A,9,3
284,A,10,3
285,A,9,3
286,A,10,3
287,A,9,2
288,A,9,3
289,A,9,3
290,A,9,3
291,A,9,3
292,A,28,9
293,A,9,2
294,B,10,3
295,B,9,2
296,B,9,2
297,B,9,3
298,B,8,2
299,B,8,2
300,A,8,3
301,B,9,3
302,B,8,3
303,A,8,3
304,B,10,3
305,B,9,3
306,B,10,3
307,B,9,3
308,B,8,3
309,A,14,5
310,A,9,3
311,B,10,3
312,B,9,3
313,B,8,3
314,A,8,2
315,B,9,3
316,B,8,3
317,A,8,2
318,A,9,2
319,A,8,2
320,B,10,3
321,B,9,3
322,A,8,2
323,B,22,7
324,A,8,2
325,A,9,3
326,A,10,3
327,A,8,2
328,A,9,3
329,A,8,1
330,A,8,2
331,A,9,3
332,A,9,3
333,A,8,2
334,B,23,7
335,A,8,1
336,A,24,7
337,A,25,7
338,A,28,8
339,B,29,9
340,A,23,7
341,A,24,7
342,B,8,2
343,B,8,2
344,B,8,3
345,B,7,2
346,B,7,2
347,B,7,2
348,A,10,3
349,A,12,4
350,A,22,7
351,B,7,3
352,A,10,3
353,B,27,9
354,A,18,6
355,B,8,3
356,A,10,3
357,A,10,3
358,A,10,3
359,B,7,3
360,A,10,3
361,A,10,3
362,A,10,3
363,A,10,3
364,B,8,3
365,A,10,3
366,A,9,3
367,B,21,7
368,A,9,3
369,A,10,3
370,A,9,3
371,A,9,2
372,A,9,3
373,A,34,10
374,A,9,3
375,A,9,3
376,A,9,3
377,A,9,2
378,A,9,3
379,A,24,8
380,B,15,5
381,A,9,3
382,A,9,3
383,A,9,2
384,A,9,3
385,A,8,3
386,A,29,9
387,B,16,6
388,A,8,3
389,A,8,3
390,A,8,2
391,A,8,2
392,B,18,5
393,B,17,5
394,B,10,3
395,B,9,3
396,B,8,2
397,B,8,2
398,B,9,2
399,B,9,3
400,B,8,3
401,B,7,2
402,B,7,2
403,B,7,2
404,A,9,3
405,B,28,10
406,B,8,3
407,B,7,3
408,A,9,3
409,A,15,5
410,B,10,3
411,B,9,3
412,A,9,2
413,A,10,3
414,B,8,3
415,B,7,3
416,A,9,2
417,A,9,2
418,B,20,6
419,B,10,3
420,B,9,3
421,A,9,2
422,A,9,3
423,A,9,3
424,A,10,3
425,A,11,3
426,A,9,3
427,A,9,2
428,A,9,3
429,A,9,3
430,B,22,6
431,B,21,6
432,A,9,3
433,A,9,2
434,A,9,3
435,B,17,6
436,A,9,3
437,A,10,3
438,A,9,3
439,A,9,2
440,A,9,3
441,A,8,3
442,B,18,6
443,A,8,3
444,A,8,3
445,A,8,3
446,A,8,2
447,A,8,2
448,B,10,3
449,B,10,3
450,B,10,3
451,B,9,3
452,B,9,2
453,B,9,3
454,B,9,2
455,B,9,3
456,B,8,3
457,B,8,2
458,B,8,2
459,B,8,3
460,A,8,3
461,B,10,3
462,B,9,3
463,B,8,3
464,A,8,3
465,B,11,3
466,B,10,3
467,B,9,3
468,A,8,2
469,B,10,3
470,B,9,3
471,B,8,3
472,A,8,2
473,A,8,2
474,B,11,3
475,B,10,3
476,B,9,3
477,A,8,2
478,A,8,2
479,A,9,3
480,A,10,3
481,A,11,3
482,A,8,2
483,A,8,1
484,A,8,2
485,B,40,12
486,B,20,6
487,B,17,5
488,A,8,2
489,A,8,1
490,A,8,3
491,A,8,3
492,A,9,3
493,A,10,3
494,A,8,3
495,A,8,2
496,A,8,2
497,A,8,3
498,A,8,3
499,A,8,3
500,A,9,3
501,A,8,3
502,A,8,2
503,A,8,2
504,A,11,4
505,A,11,4
506,B,12,4
507,A,21,7
508,A,12,4
509,B,11,4
510,B,12,4
511,A,19,6
512,A,20,7
513,A,23,7
514,B,11,4
515,A,21,7
516,B,8,2
517,B,8,2
518,B,8,3
519,B,7,3
520,B,7,2
521,B,7,2
522,B,7,2
523,B,7,3
524,A,10,3
525,A,10,3
526,A,10,3
527,A,11,4
528,B,7,3
529,A,10,3
530,A,10,3
531,A,10,3
532,B,23,8
533,B,8,3
534,A,9,3
535,A,11,4
536,A,9,3
537,A,10,3
538,A,11,4
539,A,9,2
540,A,9,3
541,A,11,4
542,A,9,3
543,A,9,3
544,A,27,10
545,A,9,2
546,A,9,3
547,A,11,4
548,A,12,4
549,A,9,3
550,A,10,3
551,A,9,2
552,A,9,3
553,A,8,3
554,A,32,10
555,B,18,6
556,A,8,3
557,A,9,3
558,A,8,2
559,A,8,2
560,A,9,3
561,A,11,4
562,A,24,8
563,B,17,7
564,A,9,3
565,A,9,2
566,A,9,3
567,A,8,3
568,A,8,3
569,A,21,7
570,B,13,5
571,A,30,10
572,A,8,3
573,A,8,2
574,A,8,2
575,A,8,3
576,A,19,6
577,A,11,4
578,B,16,5
579,B,27,9
580,B,14,4
581,A,20,7
582,B,10,3
583,B,9,3
584,B,8,3
585,B,8,2
586,B,8,2
587,B,8,3
588,B,9,2
589,B,9,3
590,B,8,3
591,B,7,3
592,B,7,2
593,B,7,2
594,B,7,2
595,B,7,3
596,A,9,2
597,A,10,3
598,A,11,4
599,B,8,3
600,B,7,3
601,A,9,2
602,B,27,8
603,A,14,5
604,B,10,3
605,B,9,3
606,A,9,3
607,A,9,3
608,A,10,3
609,A,11,4
610,A,11,4
611,A,9,2
612,A,9,3
613,A,9,3
614,B,18,6
615,B,11,4
616,B,11,4
617,A,9,2
618,A,9,3
619,A,11,4
620,A,9,3
621,A,10,3
622,A,11,4
623,A,9,2
624,A,9,3
625,A,8,3
626,B,16,5
627,A,8,3
628,B,11,4
629,B,21,7
630,A,8,2
631,A,8,2
632,A,9,3
633,A,11,4
634,B,15,6
635,A,9,3
636,A,10,3
637,A,9,2
638,A,9,3
639,A,8,3
640,A,7,3
641,B,17,6
642,B,16,6
643,A,7,3
644,A,8,3
645,A,7,2
646,A,7,2
647,A,7,2
648,B,18,6
649,B,17,5
650,B,10,3
651,B,10,3
652,B,10,3
653,B,10,3
654,B,10,3
655,B,9,3
656,B,9,3
657,B,9,2
658,B,9,3
659,B,9,3
660,B,9,2
661,B,9,3
662,B,8,3
663,B,8,3
664,B,8,2
665,B,8,2
666,B,8,3
667,B,8,3
668,A,8,2
669,B,23,8
670,B,10,3
671,B,9,3
672,B,8,3
673,A,8,2
674,A,14,5
675,B,11,4
676,B,10,3
677,B,9,3
678,A,8,2
679,A,9,3
680,A,21,7
681,A,28,9
682,B,14,5
683,A,8,1
684,A,8,2
685,B,20,6
686,B,11,4
687,B,11,4
688,A,26,9
689,A,8,1
690,A,8,3
691,A,8,3
692,A,9,3
693,A,10,3
694,A,11,4
695,A,8,2
696,A,8,2
697,A,8,3
698,A,8,3
699,B,11,4
700,B,18,6
701,B,17,6
702,A,8,2
703,A,8,2
704,A,8,3
705,B,17,6
706,A,8,3
707,A,9,3
708,A,10,3
709,A,8,2
710,A,8,2
711,A,8,3
712,A,7,3
713,B,18,6
714,A,7,3
715,A,8,3
716,A,9,3
717,A,7,2
718,A,7,2
719,A,7,2
