match,result,turned_cards,number_of_battles
397,B,16,2
398,B,16,2
399,B,16,2
400,B,16,2
401,B,16,2
402,B,16,3
403,B,16,3
404,B,16,3
405,B,16,3
406,B,16,3
407,B,16,3
408,B,16,3
409,B,16,3
410,B,16,3
411,B,16,3
412,B,16,3
413,B,16,3
414,B,16,3
415,B,16,3
416,B,16,3
417,B,16,3
418,B,16,3
419,B,16,3
420,B,16,3
421,B,16,3
422,B,16,3
423,B,16,3
424,B,16,3
425,B,16,3
426,B,16,3
427,B,16,3
428,B,16,3
429,B,16,3
430,B,16,3
431,B,16,3
432,B,16,3
433,B,16,3
434,B,16,3
435,B,16,3
436,B,16,3
437,B,16,3
438,B,16,3
439,B,16,3
440,B,16,3
441,B,16,3
442,B,16,3
443,B,16,3
444,B,16,3
445,B,16,3
446,B,16,3
447,B,16,3
448,B,16,3
449,B,16,3
450,B,17,3
451,B,17,3
452,B,17,3
453,B,17,3
454,B,17,3
455,B,17,3
456,B,17,3
457,B,17,3
458,B,17,3
459,B,17,3
460,B,17,3
461,B,17,3
462,B,16,2
463,B,16,2
464,B,16,2
465,B,16,2
466,B,16,2
467,B,16,2
468,B,16,2
469,B,16,2
470,B,16,2
471,B,16,2
472,B,16,2
473,B,16,2
474,B,16,2
475,B,16,2
476,B,16,2
477,B,16,2
478,B,16,2
479,B,16,2
480,B,17,3
481,B,17,3
482,B,17,3
483,B,17,3
484,B,17,3
485,B,17,3
486,B,17,3
487,B,17,3
488,B,17,3
489,B,17,3
490,B,17,3
491,B,17,3
492,B,17,3
493,B,17,3
494,B,17,3
495,B,17,4
496,B,17,4
497,B,17,4
498,B,17,4
499,B,17,4
500,B,17,4
501,B,17,4
502,B,17,4
503,B,17,4
504,B,16,3
505,B,16,3
506,B,16,3
507,B,16,3
508,B,16,3
509,B,16,3
510,B,16,3
511,B,16,3
512,B,16,3
513,B,16,3
514,B,16,3
515,B,16,3
516,B,16,3
517,B,16,3
518,B,16,3
519,B,16,3
520,B,16,3
521,B,16,3
522,B,16,3
523,B,16,3
524,B,16,3
525,B,16,3
526,B,16,3
527,B,16,3
528,B,16,3
529,B,16,3
530,B,16,3
531,B,16,3
532,B,16,3
533,B,16,3
534,B,16,3
535,B,16,3
536,B,16,3
537,B,16,3
538,B,16,3
539,B,16,3
540,B,16,2
541,B,16,2
542,B,16,2
543,B,16,2
544,B,16,2
545,B,16,2
546,B,16,2
547,B,16,2
548,B,16,2
549,B,16,2
550,B,16,2
551,B,16,2
552,B,16,3
553,B,16,3
554,B,16,3
555,B,16,3
556,B,16,3
557,B,16,3
558,B,16,3
559,B,16,3
560,B,16,3
561,B,16,3
562,B,16,3
563,B,16,3
564,B,16,3
565,B,16,3
566,B,16,3
567,B,16,3
568,B,16,3
569,B,16,3
570,B,16,3
571,B,16,3
572,B,16,3
573,B,16,3
574,B,16,3
575,B,16,3
576,B,16,3
577,B,16,3
578,B,16,3
579,B,16,3
580,B,16,3
581,B,16,3
582,B,16,3
583,B,16,3
584,B,16,3
585,B,16,3
586,B,16,3
587,B,16,3
588,B,16,3
589,B,16,3
590,B,16,3
591,B,16,3
592,B,16,3
593,B,16,3
594,B,16,3
595,B,16,3
596,B,16,3
597,B,16,3
598,B,16,3
599,B,16,3
600,B,15,2
601,B,15,2
602,B,15,2
603,B,15,2
604,B,15,2
605,B,15,2
606,B,15,2
607,B,15,2
608,B,15,2
609,B,15,2
610,B,15,2
611,B,15,2
612,B,15,2
613,B,15,2
614,B,15,2
615,B,15,2
616,B,15,2
617,B,15,2
618,B,15,2
619,B,15,2
620,B,15,2
621,B,15,2
622,B,15,2
623,B,15,2
624,B,15,2
625,B,15,2
626,B,15,2
627,B,15,2
628,B,15,2
629,B,15,2
630,B,18,4
631,B,18,4
632,B,18,4
633,B,17,3
634,B,17,3
635,B,17,3
636,B,18,4
637,B,18,4
638,B,18,4
639,B,17,3
640,B,17,3
641,B,17,3
642,B,17,3
643,B,17,3
644,B,17,3
645,B,17,3
646,B,17,3
647,B,17,3
648,B,17,3
649,B,17,3
650,B,17,3
651,B,17,3
652,B,17,3
653,B,17,3
654,B,17,3
655,B,17,3
656,B,17,3
657,B,17,3
658,B,17,3
659,B,17,3
660,B,18,4
661,B,18,4
662,B,18,4
663,B,17,3
664,B,17,3
665,B,17,3
666,B,18,4
667,B,18,4
668,B,18,4
669,B,17,4
670,B,17,4
671,B,17,4
672,B,17,4
673,B,17,4
674,B,17,4
675,B,17,4
676,B,17,4
677,B,17,4
678,B,17,3
679,B,17,3
680,B,17,3
681,B,17,4
682,B,17,4
683,B,17,4
684,B,17,4
685,B,17,4
686,B,17,4
687,B,17,4
688,B,17,4
689,B,17,4
690,B,18,4
691,B,18,4
692,B,18,4
693,B,17,3
694,B,17,3
695,B,17,3
696,B,17,3
697,B,17,3
698,B,17,3
699,B,17,3
700,B,17,3
701,B,17,3
702,B,18,4
703,B,18,4
704,B,18,4
705,B,17,4
706,B,17,4
707,B,17,4
708,B,17,4
709,B,17,4
710,B,17,4
711,B,17,4
712,B,17,4
713,B,17,4
714,B,17,3
715,B,17,3
716,B,17,3
717,B,17,4
718,B,17,4
719,B,17,4
720,B,17,4
721,B,17,4
722,B,17,4
723,B,17,4
724,B,17,4
725,B,17,4
726,B,16,3
727,B,16,3
728,B,16,3
729,B,16,3
730,B,16,3
731,B,16,3
732,B,16,3
733,B,16,3
734,B,16,3
735,B,16,3
736,B,16,3
737,B,16,3
738,B,16,3
739,B,16,3
740,B,16,3
741,B,16,3
742,B,16,3
743,B,16,3
744,B,16,3
745,B,16,3
746,B,16,3
747,B,16,3
748,B,16,3
749,B,16,3
750,B,17,3
751,B,17,3
752,B,17,3
753,B,17,3
754,B,17,3
755,B,17,3
756,B,17,3
757,B,17,3
758,B,17,3
759,B,17,3
760,B,17,3
761,B,17,3
762,B,17,3
763,B,17,3
764,B,17,3
765,B,17,4
766,B,17,4
767,B,17,4
768,B,17,4
769,B,17,4
770,B,17,4
771,B,17,4
772,B,17,4
773,B,17,4
774,B,16,3
775,B,16,3
776,B,16,3
777,B,16,3
778,B,16,3
779,B,16,3
780,B,16,3
781,B,16,3
782,B,16,3
783,B,16,3
784,B,16,3
785,B,16,3
786,B,16,3
787,B,16,3
788,B,16,3
789,B,16,3
790,B,16,3
791,B,16,3
792,B,16,3
793,B,16,3
794,B,16,3
795,B,16,3
796,B,16,3
797,B,16,3
798,B,16,3
799,B,16,3
800,B,16,3
801,B,16,3
802,B,16,3
803,B,16,3
804,B,16,3
805,B,16,3
806,B,16,3
807,B,16,3
808,B,16,3
809,B,16,3
810,B,18,4
811,B,18,4
812,B,18,4
813,B,17,3
814,B,17,3
815,B,17,3
816,B,18,4
817,B,18,4
818,B,18,4
819,B,17,4
820,B,17,4
821,B,17,4
822,B,17,4
823,B,17,4
824,B,17,4
825,B,17,4
826,B,17,4
827,B,17,4
828,B,17,3
829,B,17,3
830,B,17,3
831,B,17,4
832,B,17,4
833,B,17,4
834,B,17,4
835,B,17,4
836,B,17,4
837,B,17,4
838,B,17,4
839,B,17,4
840,B,18,4
841,B,18,4
842,B,18,4
843,B,17,4
844,B,17,4
845,B,17,4
846,B,17,4
847,B,17,4
848,B,17,4
849,B,17,4
850,B,17,4
851,B,17,4
852,B,17,4
853,B,17,4
854,B,17,4
855,B,17,5
856,B,17,5
857,B,17,5
858,B,16,4
859,B,16,4
860,B,16,4
861,B,16,4
862,B,16,4
863,B,16,4
864,B,16,4
865,B,16,4
866,B,16,4
867,B,16,4
868,B,16,4
869,B,16,4
870,B,17,3
871,B,17,3
872,B,17,3
873,B,17,4
874,B,17,4
875,B,17,4
876,B,17,4
877,B,17,4
878,B,17,4
879,B,17,4
880,B,17,4
881,B,17,4
882,B,16,4
883,B,16,4
884,B,16,4
885,B,16,4
886,B,16,4
887,B,16,4
888,B,16,4
889,B,16,4
890,B,16,4
891,B,16,4
892,B,16,4
893,B,16,4
894,B,16,4
895,B,16,4
896,B,16,4
897,B,16,4
898,B,16,4
899,B,16,4
900,B,18,4
901,B,18,4
902,B,18,4
903,B,17,3
904,B,17,3
905,B,17,3
906,B,17,3
907,B,17,3
908,B,17,3
909,B,17,3
910,B,17,3
911,B,17,3
912,B,18,4
913,B,18,4
914,B,18,4
915,B,17,4
916,B,17,4
917,B,17,4
918,B,17,4
919,B,17,4
920,B,17,4
921,B,17,4
922,B,17,4
923,B,17,4
924,B,17,3
925,B,17,3
926,B,17,3
927,B,17,4
928,B,17,4
929,B,17,4
930,B,17,4
931,B,17,4
932,B,17,4
933,B,17,4
934,B,17,4
935,B,17,4
936,B,16,3
937,B,16,3
938,B,16,3
939,B,16,3
940,B,16,3
941,B,16,3
942,B,16,3
943,B,16,3
944,B,16,3
945,B,16,3
946,B,16,3
947,B,16,3
948,B,16,3
949,B,16,3
950,B,16,3
951,B,16,3
952,B,16,3
953,B,16,3
954,B,16,3
955,B,16,3
956,B,16,3
957,B,16,3
958,B,16,3
959,B,16,3
960,B,18,4
961,B,18,4
962,B,18,4
963,B,17,4
964,B,17,4
965,B,17,4
966,B,17,4
967,B,17,4
968,B,17,4
969,B,17,4
970,B,17,4
971,B,17,4
972,B,17,4
973,B,17,4
974,B,17,4
975,B,17,5
976,B,17,5
977,B,17,5
978,B,16,4
979,B,16,4
980,B,16,4
981,B,16,4
982,B,16,4
983,B,16,4
984,B,16,4
985,B,16,4
986,B,16,4
987,B,16,4
988,B,16,4
989,B,16,4
990,B,17,3
991,B,17,3
992,B,17,3
993,B,17,4
994,B,17,4
995,B,17,4
996,B,17,4
997,B,17,4
998,B,17,4
999,B,17,4
1000,B,17,4
1001,B,17,4
1002,B,17,4
1003,B,17,4
1004,B,17,4
1005,B,17,5
1006,B,17,5
1007,B,17,5
1008,B,16,4
1009,B,16,4
1010,B,16,4
1011,B,16,4
1012,B,16,4
1013,B,16,4
1014,B,16,4
1015,B,16,4
1016,B,16,4
1017,B,16,4
1018,B,16,4
1019,B,16,4
1020,B,16,3
1021,B,16,3
1022,B,16,3
1023,B,16,3
1024,B,16,3
1025,B,16,3
1026,B,16,3
1027,B,16,3
1028,B,16,3
1029,B,16,3
1030,B,16,3
1031,B,16,3
1032,B,16,3
1033,B,16,3
1034,B,16,3
1035,B,16,3
1036,B,16,3
1037,B,16,3
1038,B,16,3
1039,B,16,3
1040,B,16,3
1041,B,16,3
1042,B,16,3
1043,B,16,3
1044,B,16,4
1045,B,16,4
1046,B,16,4
1047,B,16,4
1048,B,16,4
1049,B,16,4
1050,B,16,4
1051,B,16,4
1052,B,16,4
1053,B,16,4
1054,B,16,4
1055,B,16,4
1056,B,16,4
1057,B,16,4
1058,B,16,4
1059,B,16,4
1060,B,16,4
1061,B,16,4
1062,B,16,4
1063,B,16,4
1064,B,16,4
1065,B,16,4
1066,B,16,4
1067,B,16,4
1068,B,16,4
1069,B,16,4
1070,B,16,4
1071,B,16,4
1072,B,16,4
1073,B,16,4
1074,B,16,4
1075,B,16,4
1076,B,16,4
1077,B,16,4
1078,B,16,4
1079,B,16,4
1080,B,17,3
1081,B,17,3
1082,B,17,3
1083,B,17,3
1084,B,17,3
1085,B,17,3
1086,B,17,3
1087,B,17,3
1088,B,17,3
1089,B,17,3
1090,B,17,3
1091,B,17,3
1092,B,17,3
1093,B,17,3
1094,B,17,3
1095,B,17,4
1096,B,17,4
